Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,62.121,18210500,8.05,2484.858,124.243,286.27,0,0.1,2454,279.3,2453,279.4,2454,279.2,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,54.637,17181500,9.15,2185.478,109.274,307.1,0,4.9,2158,324.7,2158,324,2159,324.5,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,61.497,18210500,8.13,2459.899,122.995,289.18,0,4.2,2431,288.2,2430,288.1,2431,288.3,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,54.493,17181500,9.18,2179.717,108.986,307.91,0,0.1,2153,331,2152,331,2153,331,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.large,cache,PNG,Weighted Overlay,256x256,500,20,500,0,9.702,19848500,51.54,388.069,19.403,1997.92,0,0.6,384,104.9,384,104.8,384,104.9,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.large,cache,Text,Weighted Overlay,256x256,500,20,500,196,9.74,53784,51.34,389.596,19.48,5.39,0,4.1,384,104,384,104.1,384,103.9,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.large,cache,Text,Weighted Overlay,1408x1408,500,20,500,61,199.139,54437,2.51,7965.578,398.279,0.27,0,0.1,7869,1021.1,7869,1020.8,7869,1021,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.large,local,PNG,Weighted Overlay,256x256,500,20,500,0,10.124,19848500,49.39,404.978,20.249,1914.51,0,0.3,400,106.6,400,106.6,400,106.5,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.large,local,Text,Weighted Overlay,256x256,500,20,500,331,10.062,53776,49.69,402.471,20.124,5.22,0,2.7,398,110.9,396,110.1,398,110.7,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.large,local,Text,Weighted Overlay,1408x1408,500,20,500,53,200.707,54442,2.49,8028.29,401.415,0.26,0,0.1,7934,959.9,7934,960,7934,959.9,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,61.257,18210500,8.16,2450.3,122.515,290.31,0,0.3,2421,277.2,2421,277.2,2421,277,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,54.328,17181500,9.2,2173.139,108.657,308.84,0,0.2,2144,336.6,2143,335.3,2145,336.5,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,61.11,18210500,8.18,2444.384,122.219,291.01,0,0.8,2414,288.7,2412,287.7,2414,288.5,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,54.791,17181500,9.13,2191.628,109.581,306.23,0,0.1,2165,355.5,2165,355.5,2165,355.5,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.large,cache,PNG,Weighted Overlay,256x256,500,20,500,0,9.935,19848500,50.33,397.406,19.87,1950.98,0,0.1,393,103.3,392,101.7,393,103.2,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.large,cache,Text,Weighted Overlay,256x256,500,20,500,293,9.757,53754,51.24,390.296,19.515,5.38,0,0.4,386,111.6,385,110.8,386,111.5,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.large,cache,Text,Weighted Overlay,1408x1408,500,20,500,48,200.383,54447,2.5,8015.307,400.765,0.27,0,3.7,7914,1014.8,7913,1014.8,7914,1014.6,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
