Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
lb-m1.large (2),cache,PNG,Hillshade,256x256,500,10,500,0,12.576,17784500,39.76,251.525,25.153,1380.99,40,8,209,53.4,168,50.3,249,52.8,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (2),local,PNG,Hillshade,256x256,500,10,500,0,12.401,17784500,40.32,248.024,24.802,1400.48,39,5.5,207,49.6,167,49.4,245,49.5,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (2),block,PNG,Hillshade,256x256,500,10,500,0,12.243,17784500,40.84,244.856,24.486,1418.6,40,7.8,204,47.6,164,46.8,243,47.1,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (2),cache,PNG,Hillshade,256x256,500,10,500,0,12.257,17784500,40.79,245.143,24.514,1416.94,40,6.9,204,47.1,165,46.8,243,46.9,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (2),local,PNG,Hillshade,256x256,500,10,500,0,12.275,17784500,40.73,245.509,24.551,1414.83,40,7.4,204,47.5,164,46.8,243,47,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (2),block,PNG,Hillshade,256x256,500,10,500,0,12.295,17784500,40.67,245.898,24.59,1412.59,39,6.6,205,47.3,165,46.4,244,47.1,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (2),cache,PNG,Hillshade,256x256,500,10,500,0,12.166,17784500,41.1,243.327,24.333,1427.52,39,6.8,202,44,162,44.1,241,44,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (2),local,PNG,Hillshade,256x256,500,10,500,0,12.301,17784500,40.65,246.013,24.601,1411.93,39,7,205,46.5,165,46.9,244,45.8,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (2),block,PNG,Hillshade,256x256,500,10,500,0,12.24,17784500,40.85,244.807,24.481,1418.89,40,7.2,204,46.4,164,46.7,243,46.6,http://lb-large-2-1750417607.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.medium (4),cache,PNG,Hillshade,256x256,500,10,500,0,12.465,17784500,40.11,249.291,24.929,1393.37,40,9.3,207,36.6,130,34.9,247,37.5,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
