From,Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
localhost,m1.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,21.432,17181500,23.33,857.285,42.864,782.88,16,44.9,829,148.3,771,95.6,846,153.6,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/hillshade/cache_rast1-small/5/true
localhost,m1.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,23.947,18210500,20.88,957.874,47.894,742.63,14,3.5,918,95.3,866,82.7,932,94.8,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/hillshade-con/local_rast1-small/5/true
localhost,m1.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,21.587,17181500,23.16,863.473,43.174,777.27,17,45.1,827,214.8,743,133.9,844,217.2,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/hillshade/local_rast1-small/5/true
localhost,m1.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,19.388,19848500,25.79,775.501,38.775,999.78,160,425.3,573,833.4,101,167.3,733,923.3,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,m1.xlarge,cache,Text,Weighted Overlay,256x256,500,20,500,51,3.968,53463,126.02,158.707,7.935,13.16,12,1.8,145,23.1,145,23.1,157,23.2,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,m1.xlarge,cache,Text,Weighted Overlay,1408x1408,500,20,500,362,68.906,54328,7.26,2756.229,137.811,0.77,13,4.3,2710,273.2,2710,273.2,2723,273.1,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
localhost,m1.xlarge,local,PNG,Weighted Overlay,256x256,500,20,500,0,18.916,19848500,26.43,756.63,37.831,1024.72,126,317.8,597,651.4,65,75.2,723,675.5,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/wo/local_rast1-small/local_rast2-small/3/7/true
localhost,m1.xlarge,local,Text,Weighted Overlay,256x256,500,20,500,48,3.342,53452,149.63,133.666,6.683,15.62,13,2.5,119,21.1,119,21.1,132,20.9,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/wo/local_rast1-small/local_rast2-small/3/7/false
localhost,m1.xlarge,local,Text,Weighted Overlay,1408x1408,500,20,500,342,67.033,54303,7.46,2681.313,134.066,0.79,12,2,2638,271.9,2638,271.9,2650,271.9,http://ec2-107-22-142-24.compute-1.amazonaws.com:8000/wo/local_rast1-med/local_rast2-med/3/7/false
localhost,hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,19.677,18210500,25.41,787.07,39.354,903.79,95,109.5,678,163.8,476,129.2,774,195.8,http://15.185.102.136:8000/hillshade-con/cache_rast1-small/5/true
localhost,hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,18.513,17181500,27.01,740.525,37.026,906.32,83,45,646,76.9,474,73.5,729,90.7,http://15.185.102.136:8000/hillshade/cache_rast1-small/5/true
rackspace.4G,hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,18.681,18210500,26.76,747.258,37.363,951.94,41,11.7,696,82.6,649,82,738,81.4,http://15.185.102.136:8000/hillshade-con/cache_rast1-small/5/true
rackspace.4G,hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,16.724,17181500,29.9,668.962,33.448,1003.27,42,12.2,617,72.3,574,71.5,659,70.9,http://15.185.102.136:8000/hillshade/cache_rast1-small/5/true
localhost,hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,19.061,18210500,26.23,762.435,38.122,932.99,85,63.5,666,171.7,457,110.4,751,182.9,http://15.185.102.136:8000/hillshade-con/local_rast1-small/5/true
localhost,hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,18.933,17181500,26.41,757.337,37.867,886.2,88,77.7,638,176.2,441,97.9,726,196.5,http://15.185.102.136:8000/hillshade/local_rast1-small/5/true
rackspace.4G,hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,18.344,18210500,27.26,733.76,36.688,969.46,41,9.2,684,82.7,636,78.4,724,82.3,http://15.185.102.136:8000/hillshade-con/local_rast1-small/5/true
rackspace.4G,hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,16.569,17181500,30.18,662.749,33.137,1012.68,43,14,610,71,567,70.5,653,69,http://15.185.102.136:8000/hillshade/local_rast1-small/5/true
localhost,hp.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,20.386,19848500,24.53,815.423,40.771,950.83,118,188,674,470.2,149,116.3,791,492.7,http://15.185.102.136:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,hp.xlarge,cache,Text,Weighted Overlay,256x256,500,20,500,47,5.078,53448,98.46,203.12,10.156,10.28,79,5.3,120,19.7,120,19.7,200,21.8,http://15.185.102.136:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,hp.xlarge,cache,Text,Weighted Overlay,1408x1408,500,20,500,322,67.3,54275,7.43,2691.983,134.599,0.79,80,6.2,2579,297.4,2579,297.2,2659,297.4,http://15.185.102.136:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
rackspace.4G,hp.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,6.321,19848500,79.1,252.856,12.643,3066.29,41,9.3,208,99.2,138,93.9,250,99,http://15.185.102.136:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
rackspace.4G,hp.xlarge,cache,Text,Weighted Overlay,256x256,500,20,500,458,3.595,53448,139.08,143.801,7.19,14.52,40,7.7,101,25.6,101,25.6,142,26.7,http://15.185.102.136:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
rackspace.4G,hp.xlarge,cache,Text,Weighted Overlay,1408x1408,500,20,500,247,63.542,54232,7.87,2541.694,127.085,0.83,40,7.8,2470,306.5,2469,306.5,2510,306.6,http://15.185.102.136:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
localhost,hp.xlarge,local,PNG,Weighted Overlay,256x256,500,20,500,0,18.785,19848500,26.62,751.39,37.569,1031.86,99,133.7,634,407.1,123,45.4,732,428.5,http://15.185.102.136:8000/wo/local_rast1-small/local_rast2-small/3/7/true
localhost,hp.xlarge,local,Text,Weighted Overlay,256x256,500,20,500,43,4.982,53450,100.36,199.282,9.964,10.48,79,5.4,118,19.8,118,19.8,197,22,http://15.185.102.136:8000/wo/local_rast1-small/local_rast2-small/3/7/false
localhost,hp.xlarge,local,Text,Weighted Overlay,1408x1408,500,20,500,325,65.967,54284,7.58,2638.67,131.934,0.8,80,5.8,2526,282.1,2526,282,2606,282.5,http://15.185.102.136:8000/wo/local_rast1-med/local_rast2-med/3/7/false
rackspace.4G,hp.xlarge,local,PNG,Weighted Overlay,256x256,500,20,500,0,5.14,19848500,97.28,205.582,10.279,3771.4,44,16.5,158,37.1,89,27.5,202,40.1,http://15.185.102.136:8000/wo/local_rast1-small/local_rast2-small/3/7/true
rackspace.4G,hp.xlarge,local,Text,Weighted Overlay,256x256,500,20,500,44,3.408,53455,146.73,136.302,6.815,15.32,41,10.5,94,25.7,94,25.7,135,27.3,http://15.185.102.136:8000/wo/local_rast1-small/local_rast2-small/3/7/false
rackspace.4G,hp.xlarge,local,Text,Weighted Overlay,1408x1408,500,20,500,468,61.965,54169,8.07,2478.585,123.929,0.85,41,11.2,2408,302.5,2408,302.4,2449,302.2,http://15.185.102.136:8000/wo/local_rast1-med/local_rast2-med/3/7/false
localhost,hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,38.411,18210500,13.02,1536.436,76.822,462.99,79,6.6,1437,145.9,1267,141,1516,147.9,http://15.185.97.80:8000/hillshade-con/cache_rast1-small/5/true
localhost,hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,34.345,17181500,14.56,1373.806,68.69,488.53,78,6.2,1276,145.2,1110,142.1,1354,146.7,http://15.185.97.80:8000/hillshade/cache_rast1-small/5/true
rackspace.4G,hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,38.08,18210500,13.13,1523.192,76.16,467.01,41,9.8,1463,143.5,1416,142.7,1504,143,http://15.185.97.80:8000/hillshade-con/cache_rast1-small/5/true
