Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
m1.xlarge,local,Text,Weighted Overlay,1408x1408,500,20,500,447,78.619,54438,6.36,3144.758,157.238,0.68,0,0.2,3104,315.2,3104,315.2,3104,315.1,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,23.08,18210500,21.66,923.188,46.159,770.53,0,0.1,911,87.3,911,87.3,911,87.2,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,20.641,17181500,24.22,825.659,41.283,812.87,0,0.1,814,89.7,814,89.6,814,89.6,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,23.158,18210500,21.59,926.338,46.317,767.91,0,0.2,914,89.4,914,89.4,914,89.3,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,20.646,17181500,24.22,825.828,41.291,812.7,0,0.2,814,96,814,96,814,95.9,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,3.625,19848500,137.93,145.003,7.25,5347.01,0,0.2,143,24.2,143,24.2,143,24.1,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.xlarge,cache,Text,Weighted Overlay,256x256,500,20,500,47,3.578,53456,139.75,143.112,7.156,14.59,0,0.1,141,22,141,22,141,21.9,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.xlarge,cache,Text,Weighted Overlay,1408x1408,500,20,500,63,78.347,54428,6.38,3133.88,156.694,0.68,0,0.1,3095,342.4,3095,342.4,3095,342.3,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.xlarge,local,PNG,Weighted Overlay,256x256,500,20,500,0,3.707,19848500,134.87,148.293,7.415,5228.38,0,0.2,146,23.8,146,23.8,146,23.7,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.xlarge,local,Text,Weighted Overlay,256x256,500,20,500,53,3.662,53474,136.54,146.476,7.324,14.26,0,0.1,144,24,144,24,144,23.9,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.xlarge,local,Text,Weighted Overlay,1408x1408,500,20,500,435,77.24,54426,6.47,3089.606,154.48,0.69,0,0.1,3051,338,3051,338,3051,337.9,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,23.261,18210500,21.49,930.457,46.523,764.51,0,0.2,919,81.2,918,81.2,919,81.1,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,20.621,17181500,24.25,824.846,41.242,813.67,0,0.2,813,91.2,813,91.2,814,91.1,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,23.1,18210500,21.65,923.983,46.199,769.87,0,0.2,912,90.4,912,90.4,912,90.4,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,20.727,17181500,24.12,829.089,41.454,809.51,0,0.1,818,88.9,817,88.9,818,88.8,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,3.644,19848500,137.21,145.758,7.288,5319.33,0,0.1,144,22.9,144,22.8,144,22.8,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
