Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,17.914,18210500,27.91,716.544,35.827,992.75,0,0.1,708,76.6,707,76.6,708,76.6,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,15.686,17181500,31.88,627.447,31.372,1069.66,0,0.1,618,72.4,618,72.4,618,72.4,http://localhost:8000/hillshade/cache_rast1-small/5/true
hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,17.725,18210500,28.21,709.003,35.45,1003.31,0,0.1,700,70.5,700,70.5,700,70.5,http://localhost:8000/hillshade-con/local_rast1-small/5/true
hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,15.801,17181500,31.64,632.033,31.602,1061.89,0,0.1,623,76.4,623,76.4,623,76.4,http://localhost:8000/hillshade/local_rast1-small/5/true
hp.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,2.891,19848500,172.95,115.637,5.782,6704.85,0,0.1,114,21.3,114,21.3,114,21.3,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
hp.xlarge,cache,Text,Weighted Overlay,256x256,500,20,500,67,2.853,53434,175.25,114.12,5.706,18.29,0,0.1,113,18.9,112,18.8,113,18.8,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
hp.xlarge,cache,Text,Weighted Overlay,1408x1408,500,20,500,235,62.756,54186,7.97,2510.237,125.512,0.84,0,0.1,2476,321.2,2476,321.2,2476,321.1,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
hp.xlarge,local,PNG,Weighted Overlay,256x256,500,20,500,0,3.057,19848500,163.57,122.272,6.114,6341.03,0,0.1,120,23.9,120,23.9,121,23.9,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
hp.xlarge,local,Text,Weighted Overlay,256x256,500,20,500,61,2.901,53439,172.34,116.048,5.802,17.99,0,0.1,114,20.8,114,20.8,114,20.8,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
hp.xlarge,local,Text,Weighted Overlay,1408x1408,500,20,500,248,62.53,54198,8,2501.204,125.06,0.85,0,0.3,2472,283,2471,283,2472,282.9,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,18.113,18210500,27.61,724.504,36.225,981.84,0,0.1,715,72.8,715,72.8,715,72.8,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,15.919,17181500,31.41,636.771,31.839,1053.99,0,0.1,628,67.4,628,67.4,628,67.3,http://localhost:8000/hillshade/cache_rast1-small/5/true
hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,17.812,18210500,28.07,712.479,35.624,998.41,0,0.1,704,68.6,704,68.6,704,68.6,http://localhost:8000/hillshade-con/local_rast1-small/5/true
hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,15.884,17181500,31.48,635.358,31.768,1056.34,0,0.1,627,71.1,627,71.1,627,71,http://localhost:8000/hillshade/local_rast1-small/5/true
hp.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,2.865,19848500,174.52,114.6,5.73,6765.53,0,0.1,113,19.4,113,19.4,113,19.4,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
hp.xlarge,cache,Text,Weighted Overlay,256x256,500,20,500,67,2.904,53429,172.15,116.175,5.809,17.96,0,0.1,114,21.7,114,21.6,114,21.6,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
hp.xlarge,cache,Text,Weighted Overlay,1408x1408,500,20,500,276,63.918,54230,7.82,2556.716,127.836,0.83,0,0.1,2527,302.4,2527,302.4,2527,302.3,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
hp.xlarge,local,PNG,Weighted Overlay,256x256,500,20,500,0,2.964,19848500,168.71,118.549,5.927,6540.21,0,0.1,117,21.8,117,21.8,117,21.7,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
hp.xlarge,local,Text,Weighted Overlay,256x256,500,20,500,39,2.898,53463,172.55,115.909,5.795,18.02,0,0.1,114,20.6,114,20.6,114,20.5,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
hp.xlarge,local,Text,Weighted Overlay,1408x1408,500,20,500,270,64.369,54219,7.77,2574.743,128.737,0.82,0,0.1,2544,307.2,2544,306.8,2544,307.1,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,18.065,18210500,27.68,722.604,36.13,984.42,0,0.1,714,73,713,73,714,72.9,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,15.936,17181500,31.37,637.456,31.873,1052.86,0,0.2,628,72.9,628,72.9,628,72.8,http://localhost:8000/hillshade/cache_rast1-small/5/true
hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,17.729,18210500,28.2,709.161,35.458,1003.08,0,0.1,700,67.4,700,67.4,700,67.4,http://localhost:8000/hillshade-con/local_rast1-small/5/true
hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,16.179,17181500,30.9,647.145,32.357,1037.1,0,0.1,638,86.9,638,86.9,638,86.8,http://localhost:8000/hillshade/local_rast1-small/5/true
hp.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,2.906,19848500,172.07,116.232,5.812,6670.54,0,0.1,114,19,114,19,114,19,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
hp.xlarge,cache,Text,Weighted Overlay,256x256,500,20,500,47,2.856,53451,175.05,114.256,5.713,18.27,0,0.1,113,20.3,113,20.3,113,20.2,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
hp.xlarge,cache,Text,Weighted Overlay,1408x1408,500,20,500,266,63.543,54209,7.87,2541.724,127.086,0.83,0,0.1,2509,296.2,2508,296.2,2509,296.1,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
hp.xlarge,local,PNG,Weighted Overlay,256x256,500,20,500,0,2.925,19848500,170.93,117.007,5.85,6626.36,0,0.1,115,20.9,115,20.9,115,20.9,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
hp.xlarge,local,Text,Weighted Overlay,256x256,500,20,500,457,2.823,53450,177.12,112.916,5.646,18.49,0,0.1,111,19.5,111,19.5,111,19.5,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
